LINC01128
AL591686.1
TRIM58
AC108488.3
LINC01249
SOX11
AC010729.2
NRIR
CMPK2
YWHAQ
KLF11
RN7SL832P
KCNF1
LRATD1
VSNL1
MATN3
RHOB
AC012065.4
FKBP1B
PTRHD1
POMC
KIF3C
KCNK3
SLC35F6
SNX17
AL121655.1
CDC42EP3
COX7A2L
SIX3-AS1
SIX3
SOCS5
CALM2
AC079304.1
AC008280.3
AC016747.1
AC093159.1
LGALSL
CNRIP1
PCBP1
PCYOX1
FBXO41
BOLA3-AS1
AC005034.4
AC068279.2
GPAT2
DUSP2
TMEM127
MRPL30
LONRF2
CREG2
IL1R1
AC013727.2
AC068057.1
IL1A
INHBB
GYPC
AC012508.3
CCDC115
AMER3
PLEKHB2
RAB6D
AC023469.1
RPRM
GALNT5
DLX2
LINC01305
SP9
TTC30A
FSIP2-AS2
SLC40A1
ASNSD1
AC013468.1
BZW1
GPR1
FZD5
MYL1
LINC01963
AC021016.2
CDK5R2
STK16
AC010980.1
SCG2
MRPL44
SCYGR4
ITM2C
AC009407.1
B3GNT7
NPPC
ARL4C
GBX2
COPS8
AC012485.1
KIF1A
BOK
AC133528.1
NEU4
RTP5
AC024060.2
AC022007.1
TATDN2
CHCHD4
FGD5-AS1
SH3BP5
EAF1-AS1
DPH3
ZNF860
DCLK3
EIF1B
ZNF619
AC009743.1
CCK
HIGD1A
AC124045.1
KIAA1143
CDCP1
TMEM158
LRRC2
TMIE
CSPG5
AC137630.4
AC137630.3
INKA1
CAMKV
HYAL3
NAA80
TUSC2
DUSP7
WDR82
NT5DC2
AC012467.2
PDE12
AC098479.1
FEZF2
AC121493.1
GPR27
CHMP2B
AC110491.1
OR5K1
LINC01215
PLCXD2
GAP43
GTF2E1
ROPN1B
ALDH1L1-AS1
CHST13
PRR20G
LINC01565
NUDT16
AC107027.3
CDV3
RAB6B
AMOTL2
ANAPC13
MRAS
RBP1
PAQR9
AC026304.1
CHST2
AC069410.1
CPB1
TM4SF4
PFN2
LINC01998
AC018545.1
SIAH2
RAP2B
STRIT1
KCNAB1
AC084036.1
PTX3
SHOX2
C3orf80
B3GALNT1
AC078795.2
SEC62
MAP6D1
AP2M1
CAMK2N2
EIF4G1
MAGEF1
AC107294.3
SST
FGF12-AS3
FBXO45
NCBP2
AC024560.3
TMEM271
NAT8L
NSG1
CRMP1
JAKMIP1
MRFAP1
MRFAP1L1
AC097382.3
ZNF518B
LINC02506
AC093606.1
UCHL1
AC104072.1
AC107398.3
SLC10A4
AC110792.3
DCK
RASSF6
CCNI
ANXA3
AC124016.2
GPAT3
C4orf36
PYURF
NAP1L5
TIGD2
SNCA
AC114811.2
LAMTOR3
CISD2
CXXC4
AC126283.1
PITX2
PRSS12
C4orf3
TMEM155
BBS12
PCDH10
SCOC
GYPE
GYPB
GYPA
FHDC1
NPY2R
AC104083.1
FAM218A
AC084866.1
TPPP
AC026748.3
AC012640.2
AC092335.1
BASP1
LINC02218
SUB1
AC034231.1
PLK2
AC092354.2
AC092354.1
MAP1B
ENC1
HMGCR
OTP
RASGRF2-AS1
TMEM167A
AC093510.2
NR2F1
RFESD
NREP
FEM1C
TICAM2
PHAX
CTXN3
ISOC1
MINAR2
SOWAHA
VDAC1
C5orf24
CXCL14
HNRNPA0
LRRTM2
DND1
ZMAT2
PCDHB7
PCDHGA2
POU4F3
DPYSL3
GRPEL2
SLC26A2
CAMK2A
SYNPO
AC011374.3
AC009185.1
SOX30
LSM11
ADRA1B
FBLL1
AC011407.1
NSG2
KIAA1191
ARL10
GPRIN1
EIF4E1B
TSPAN17
RGS14
PRR7
N4BP3
MGAT4B
AL035696.4
TUBB2A
TUBB2B
FAM50B
NRN1
RIOK1
SMIM13
AL137003.2
AL138824.1
ID4
HIST1H2BE
HIST1H4J
ZSCAN31
AL662797.1
AL662844.4
VARS
BAK1
HMGA1
SMIM29
NUDT3
AL157823.2
PIM1
TSPO2
FRS3
MEA1
LRRC73
AL355802.3
NFKBIE
RHAG
PAQR8
SCAT8
SIM1
CD24
AL590009.1
MARCKS
TSPYL4
TSPYL1
TRAPPC3L
SERINC1
PKIB
HINT3
KIAA0408
PERP
CITED2
FBXO30
ULBP3
AL139393.3
C6orf120
AC093627.4
PDGFA
ADAP1
GPR146
AC091729.3
MAFK
AC024028.1
ACTB
FSCN1
KDELR2
ZNF853
AC079804.3
AC004949.1
ARL4A
TWISTNB
SP8
AC005682.2
AC005082.1
CYCS
MTURN
AC018647.2
INHBA
YKT6
NACAD
VSTM2A
MRPS17
SBDS
FZD9
VPS37D
RHBDD2
YWHAG
PEG10
DLX6
DLX5
PDAP1
MAP11
NYAP1
GNB2
ACHE
MUC3A
MUC17
AP1S1
VGF
LNCPRESS1
AC006329.1
IFT22
LRWD1
UPK3BL1
CCDC71L
THAP5
AC005487.1
GPR85
WNT2
ARF5
AC090114.2
ATP6V1FNB
IRF5
BPGM
STMP1
MTPN
ADCK2
KEL
FAM131B
ATP6V0E2
LRRC61
CDK5
TMUB1
PRKAG2-AS1
LINC01003
HTR5A
AC144652.1
SHH
KBTBD11
AC245519.1
DEFA3
PPP1R3B
DMTN
SFTPC
PHYHIP
RHOBTB2
SLC25A37
NEFM
NEFL
AC107373.2
PNMA2
DPYSL2
PTK2B
CHRNA2
SARAF
AC091182.1
LSM1
CHRNA6
AC120036.4
UBE2V2
AC023762.1
OPRK1
PENK
AC090152.1
AC011978.2
CRH
VXN
VCPIP1
AC022893.2
TMEM70
STMN2
CA1
NECAB1
PDP1
TSPYL5
ERICH5
KCNS2
ANKRD46
PABPC1
YWHAZ
AP003469.4
KLF10
AZIN1
TRHR
MAL2
CCN3
ZHX1
FBXO32
LRATD2
MYC
NDRG1
PEG13
AC040970.1
PTP4A3
AC100803.4
SLURP2
LYNX1
LY6E
EPPK1
GRINA
EXOSC4
HGH1
SCRT1
AC233992.3
LRRC14
DMRT2
AL354694.1
PTPRD-AS2
RRAGA
KLHL9
TUSC1
AL353746.1
AL162388.2
TMEM215
DNAJA1
CYP4F26P
AL356489.2
AL356489.3
DCAF12
ENHO
PHF24
DNAJB5
FAM214B
TESK1
TMEM8B
HRCT1
EBLN3P
AL513165.1
ALDH1B1
AL845472.1
FOXD4L5
ZFAND5
RFK
C9orf64
ISCA1
AL161910.1
C9orf129
HEMGN
AL807776.1
BAAT
TMEM246
NIPSNAP3A
PTPN3
POLE3
PDCL
MIR600HG
AC006450.3
ZBTB34
DPM2
SET
ZDHHC12
DOLPP1
PTPA
PTGES
C9orf78
NCS1
BRD3
OLFM1
PPP1R26
TMEM250
DNLZ
AJM1
MAN1B1-DT
RNF208
TUBB4B
IDI1
AL731533.2
LINC02668
KLF6
AC018978.1
CALML3
PRKCQ-AS1
HSPA14
ACBD7
ITGA8
GPR158-AS1
AL353796.1
AL353796.2
NCOA4
GPRIN2
CSTF2T
DKK1
ADO
NPFFR1
EIF4EBP2
PCBD1
UNC5B-AS1
DUSP13
ZNF503
EIF5AL1
GHITM
AL138767.2
AL353751.1
LINC00865
FRAT1
PGAM1
CRTAC1
SCD
HPS6
NOLC1
PSD
C10orf95
ACTR1A
INA
ADRA2A
GPAM
AL158212.3
TCF7L2
NRAP
TRUB1
C10orf82
EMX2
NANOS1
PRDX3
PWWP2B
LINC01166
ADGRA1-AS1
CALY
SPRN
CEND1
DUSP8
TSPAN32
CDKN1C
HBB
HBD
HBG1
HBG2
HBE1
CCKBR
OVCH2
TMEM9B
NRIP3
MTRNR2L8
RNF141
EIF4G2
DKK3
MICAL2
PTH
AC124798.1
KCNJ11
AC124798.3
SAA1
AC009549.1
AC107886.1
SLC17A6
SVIP
LIN7C
BDNF
KCNA4
FJX1
TP53I11
SYT13
CHST1
SLC35C1
MAPK8IP1
C1QTNF4
LRRC55
UBE2L6
YPEL4
LINC02739
TKFC
SYT7
GNG3
ZBTB3
AP000438.1
C11orf95
FLRT1
BAD
PRDX5
NRXN2
EHD1
PPP2R5B
CDC42EP2
TIGD3
AP5B1
CFL1
CCDC85B
GAL3ST3
RAB1B
CNIH2
TMEM151A
LRFN4
GRK2
PITPNM1
C11orf24
GAL
FADD
AP002387.2
AP000867.5
STARD10
PLEKHB1
PGM2L1
AP001372.2
AP002784.1
C11orf97
JRKL
AASDHPPT
C11orf87
LINC02762
C11orf71
RBM7
ZPR1
APOA1
PAFAH1B2
SCN2B
ARCN1
AP004609.3
HMBS
THY1
NECTIN1
BLID
HSPA8
AP002765.1
PUS3
KCNJ5
TP53AIP1
AP002856.2
GLB1L3
B3GAT1
LINC02717
AC004803.1
LRTM2
RHNO1
KCNA5
AC007848.2
PTMS
ENO2
NECAP1
LINC02449
GABARAPL1
YBX3
SMIM10L1
LOH12CR2
ART4
CMAS
AC023510.2
AC025253.2
AC004466.1
AC004466.2
CCDC184
CACNB3
ARF3
DDN
TUBA1B
TUBA1A
MCRS1
BCDIN3D-AS1
FAIM2
GALNT6
ANKRD33
AC121757.2
KRT1
KRT18
SPRYD3
MFSD5
CBX5
AC078778.1
NFE2
PPP1R1A
TESPA1
DNAJC14
PA2G4
AGAP2
MARCH9
AC025165.5
AVPR1A
WIF1
DYRK2
IL26
BEST3
TPH2
ATXN7L3B
AC025257.1
MYF6
NTS
C12orf29
KITLG
AC024941.1
DUSP6
GALNT4
AC126178.1
CKAP4
TCP11L2
PHETA1
LINC01234
C12orf49
AC131159.2
WSB2
PEBP1
LINC02439
RAB35
DYNLL1
AC069234.1
BRI3BP
AC079949.2
LINC02375
AC068787.2
FZD10-AS1
PIWIL1
RAN
LINC02361
PGAM5
LINC00349
AL355001.2
AL161772.1
RNF6
GPR12
KBTBD6
KBTBD7
LACC1
KCTD4
SUCLA2-AS1
NUDT15
MZT1
KCTD12
AL445209.1
POU4F1
AL356413.1
SLITRK6
AL354994.1
GGACT
LIG4
IRS2
AL356740.1
MCF2L-AS1
CHAMP1
AL356019.2
PNP
ANG
LINC00641
SALL2
REM2
C14orf119
MYH7
DCAF11
IPO4
RABGGTA
LINC01551
LINC02281
AL161665.2
SPTSSA
AL121809.2
MGAT2
AL139099.1
ARF6
GMFB
AL049838.1
AKAP5
TMEM229B
AL121820.2
ERH
TTC9
AC004816.1
RIOX1
ACOT4
PNMA1
SYNDIG1L
IRF2BPL
CIPC
ZDHHC22
CALM1
GPR68
AL121839.2
CHGA
MOAP1
ASB2
SYNE3
GLRX5
AL133167.1
TUNAR
C14orf132
ANKRD9
EIF5
RD3L
CEP170B
AHNAK2
NUDT14
AL928654.1
CRIP2
TMEM121
AC138649.1
NIPA1
MAGEL2
NDN
GABRA5
PGBD4
GJD2
ACTC1
ZNF770
BMF
PAK6
AC020658.5
RPUSD2
GCHFR
RHOV
CHAC1
OIP5-AS1
EPB42
MAP1A
AC092078.3
CTXN2
EID1
FGF7
LYSMD2
TMOD2
BCL2L10
ARPP19
ONECUT1
AC011912.1
FEM1B
LARP6
THAP10
INSYN1
STOML1
SEMA7A
AC100835.2
RPP25
AC090181.2
LINGO1
MORF4L1
ST20-AS1
TLNRD1
MEX3B
RAMAC
ZNF710-AS1
NGRN
FURIN
AC103746.1
POLR3K
HBZ
HBM
HBA2
HBA1
HBQ1
ARHGDIG
MCRIP2
WDR24
FBXL16
RPUSD1
GNG13
C16orf91
AL031705.1
TBL3
SYNGR3
SLC9A3R2
NTHL1
ATP6V0C
HCFC1R1
ZNF205
PPL
SOCS1
SNN
ARL6IP1
GDE1
DCUN1D3
CRYM
METTL9
AC130466.1
DCTN5
ZKSCAN2
SBK1
MAZ
SEZ6L2
DOC2A
TLCD3B
YPEL3
MAPK3
CD2BP2
ZNF48
SEPHS2
ZNF768
ZNF747
ZNF764
ZNF689
FBXL19
STX1B
AHSP
AC027348.1
SALL1
ARL2BP
CX3CL1
DOK4
ZNF319
USB1
AC092125.2
ATP6V0D1
AC027682.2
CARMIL2
AC099521.3
HAS3
EXOSC6
AC106736.1
CALB2
AC087565.1
GABARAPL2
AC092376.2
AC092376.3
AC092718.4
ATMIN
AC092718.5
HSBP1
NECAB2
AC040169.1
HSDL1
COTL1
MAP1LC3B
AC092720.2
JPH3
AC010536.1
CHMP1A
TUBB3
DBNDD1
RILP
AC005696.4
PFN1
AC012146.1
AC004148.1
DLG4
PHF23
CTDNEP1
YBX2
EIF5A
SOX15
EFNB3
RNF227
TRAPPC1
VAMP2
AC087501.4
HS3ST3B1
AC015922.3
UBB
TRPV2
RASD1
SMCR8
FAM83G
MAPK7
AC015726.1
LGALS9B
NATD1
MAP2K3
KCNJ12
AC010761.1
AC024267.1
GIT1
COPRS
CDK5R1
NLE1
SLFN5
RASL10B
AC006449.5
PIP4K2B
LASP1
ORMDL3
THRA
NR1D1
AC073508.3
KRT19
NKIRAS2
DHX58
RAB5C
AC067852.2
COA3
VAT1
RND2
DUSP3
NAGS
ATXN7L3
SLC4A1
RUNDC3A
SLC25A39
FAM171A2
CCDC43
MAPT
MYL4
LRRC46
AC018521.5
PNPO
PHOSPHO1
NXPH3
PPP1R9B
LRRC59
SPATA20
MMD
DYNLL2
C17orf64
CYB561
PSMD12
C17orf58
PRKAR1A
KCTD2
JPT1
SMIM5
LINC00868
C17orf99
TIMP2
AC022966.1
C1QTNF1
AC027601.4
LINC01971
ACTG1
FAAP100
SLC25A10
MCRIP1
ARHGDIA
AC145207.5
RAC3
DCXR
FASN
MYL12B
AP001021.1
LINC01915
AC007996.1
AC079052.1
SYT4
AC110014.1
SLC14A1
CCDC68
FECH
RNF152
TNFRSF11A
AC009802.1
AC026585.1
AC091691.3
LINC01899
CBLN2
AC116003.1
AC016588.2
C2CD4C
PLPPR3
AZU1
PRTN3
R3HDM4
STK11
CBARP
REEP6
MEX3D
KLF16
OAZ1
DIRAS1
AC006538.1
SLC39A3
TLE5
GNA11
EEF2
MPND
UBXN6
SEMA6B
TINCR
PSPN
TUBB4A
AC010503.1
TNFSF9
ZNF358
PRR36
CTXN1
RAB11B
ZNF414
ICAM4
ICAM5
KEAP1
CDKN2D
PLPPR2
EPOR
ELAVL3
ACP5
KLF1
PALM3
SAMD1
WIZ
FAM32A
NR2F6
CCDC124
ARRDC2
PIK3R2
RAB3A
FKBP8
HAPLN4
TSSK6
ZNF728
AC073534.2
AC006504.7
LRP3
LINC01801
LGI4
FXYD1
FXYD7
KRTDAP
TMEM147-AS1
ARHGAP33
APLP1
LRFN3
CLIP3
TBCB
DPF1
SPINT2
MAP4K1
RINL
LRFN1
EID2
SERTAD3
BLVRB
EGLN2
CYP2A13
CEACAM21
GSK3A
PRR19
IRGQ
ZNF428
GEMIN7
BLOC1S3
IRF2BP1
NOVA2
PNMA8C
PNMA8A
PNMA8B
CALM3
GNG8
DACT3
SLC1A5
AP2S1
BBC3
DBP
FUT1
PPP1R15A
PTH2
GFY
SCAF1
ATF5
AC010624.2
ASPDH
KLK10
KLK13
PPP2R1A
ZNF468
MYADM
MBOAT7
AC245884.9
EPS8L1
BRSK1
ZNF865
EPN1
ZNF835
PEG3
ZNF772
UBE2M
ZCCHC3
SOX12
TRIB3
SRXN1
FAM110A
FKBP1A
SIRPD
AL121899.4
FASTKD5
CENPB
PRNP
AL109935.1
CHGB
LRRN4
TMX4
MKKS
AL133465.1
NXT1
KIF3B
AL121583.1
AL035071.1
AHCY
DYNLRB1
TP53INP2
RBM12
NORAD
SERINC3
RIMS4
YWHAB
TOMM34
ZSWIM1
SLC12A5
RIPOR3
AL353653.1
MOCS3
PFDN4
CBLN4
FAM210B
RBM38
GNAS
TUBB1
FAM217B
PPP1R3D
LSM14B
HRH3
ADRM1
CABLES2
CHRNA4
AL121827.1
EEF1A2
PPDPF
FNDC11
STMN3
SAMD10
SOX18
RGS19
OPRL1
LKAAEAR1
GATD3B
CU633906.5
FP236383.4
HSPA13
AF127577.1
CXADR
LINC02573
IL10RB-DT
AP001062.1
LRRC3-DT
LRRC3
SUMO3
LINC01547
LINC00334
LINC01694
TMEM121B
TMEM191B
SLC7A4
HIC2
GNAZ
MMP11
AP000350.5
AP000350.6
AL008721.2
LINC02559
ASPHD2
NEFH
YWHAH
C22orf42
PVALB
C1QTNF6
ELFN2
PDXP
AL031587.3
DNAL4
NPTXR
CBX6
AL022318.5
MIEF1
RPS19BP1
CACNA1I
Z82206.1
CHADL
LINC00634
SEPTIN3
SHISAL1
RTL6
KIAA0930
BX537318.1
PIM3
PANX2
SBF1
ZBED1
EGFL6
EIF1AX
XK
DYNLT3
ATP6AP2
FUNDC1
CDK16
SYN1
GATA1
PCSK1N
PIM2
USP27X
NUDT10
NUDT11
CENPVL3
MAGED4
AC234031.1
ALAS2
MAGEH1
UBQLN2
ZXDB
SPIN4
PJA1
SNX12
PABPC1L2A
NAP1L2
MAGEE2
MAGEE1
TAF9B
NAP1L3
TMEM35A
HNRNPH2
ARMCX1
ARMCX3
ARMCX2
TCEAL2
TCEAL6
Z70719.1
BEX5
TMSB15A
GPRASP2
BHLHB9
BEX1
TCEAL8
TCEAL5
BEX2
TCEAL7
FAM199X
RIPPLY1
PSMD10
DCX
IL13RA2
ZCCHC12
PGRMC1
ZBTB33
CCDC160
RTL8B
RTL8C
AL136169.1
SMIM10L2B
SMIM10L2A
MMGT1
SLC9A6
HTATSF1
LDOC1
SLITRK4
IDS
CXorf40A
HMGB3
VMA21
CETN2
PNMA5
PNMA3
ZNF275
PDZD4
HCFC1
ATP6AP1
UBL4A
SLC10A3
MPP1
F8A1
RAB39B
F8A3
TTTY14
AC004556.3
