AL590822.2
UBE2E2
UBE2E1
AC099535.2
SLC4A7
DYNC1LI1
PLCD1
ACVR2B
AC099332.1
ZNF620
SNRK
SNRK-AS1
ZDHHC3
AC099778.1
PLXNB1
AC134772.1
CELSR3
APEH
RNF123
MON1A
NISCH
PBRM1
PRKCD
ARHGEF3
SPATA12
IL17RD
CADPS
C3orf49
LINC00877
RYBP
EBLN2
AC133040.1
AC108749.1
MTRNR2L12
SENP7
ZPLD1
PLCXD2
TAGLN3
ZBTB20-AS3
GAP43
LSAMP
LSAMP-AS1
LINC00903
TUSC7
LINC00901
AC092691.1
LINC02024
AC092691.3
POPDC2
AC072026.2
STXBP5L
AC079841.2
KALRN
H1FX
TMEM108
TMEM108-AS1
BFSP2
CDV3
AC096992.2
IL20RB
RBP1
PXYLP1
AC022215.2
AC117383.1
ATP1B3-AS1
ANKUB1
PFN2
GPR171
P2RY13
P2RY12
RAP2B
LINC02006
ARHGEF26-AS1
AC084036.1
AC106707.1
SCHIP1
PPM1L
LINC01322
TBL1XR1-AS1
LINC01206
ATP11B
KLHL24
SST
AL590235.2
NSG1
CRMP1
AFAP1
AC112254.1
ABLIM2
AC005699.1
AC006296.3
LINC00504
AC098829.1
C1QTNF7
UGDH
AC108471.3
RBM47
FRYL
LRRC66
SGCB
AC110611.1
KIAA1211
AC022267.1
EPHA5
EPHA5-AS1
AC104806.2
TMPRSS11D
MOB1B
DCK
SLC4A4
CCNG2
AC092674.1
CXCL13
ANTXR2
FGF5
BMP3
SCD5
MAPK10
AC104827.1
KLHL8
NAP1L5
CCSER1
AC004054.1
AC074124.1
LINC02267
LAMTOR3
LINC02503
AC096577.1
TET2
TET2-AS1
PPA2
PAPSS1
ANKRD50
AC104664.1
LINC00499
AC093766.1
AC109927.1
NOCT
ELF2
UCP1
SMARCA5
AC109811.1
LINC02355
IQCM
DCLK2
RPS3A
TMEM131L
AC106865.2
TRIM61
KLHL2
AC097534.1
SAP30
AC093849.4
AC093849.3
ADAM29
AC097537.1
AC084741.1
ENPP6
FAM149A
LINC02492
EXOC3-AS1
TPPP
LINC02145
AC008825.1
AC025178.1
AC025181.2
SUB1
AMACR
FGF10-AS1
AC025175.2
SETD9
AC016644.1
AC092343.1
PART1
KIF2A
DIMT1
SHLD3
MAP1B
BTF3
AC010245.2
AC010260.1
RPS23
EDIL3
COX7C
LINC02488
LINC02144
AC020930.1
AC108102.1
SPATA9
AC008883.1
LINC01340
ST8SIA4
SLCO4C1
PAM
LINC01950
EFNA5
AC008467.1
STARD4-AS1
NREP
AC010261.2
TRIM36
LINC01170
VDAC1
UBE2B
SPOCK1
SLC4A9
ZMAT2
AC005609.5
PCDHA2
PCDHA3
PCDHA4
PCDHA5
PCDHA9
PCDHA10
PCDHA11
AC005609.1
AC244517.2
PCDHB3
AC244517.1
PCDHB4
AC244517.11
PCDHB7
PCDHB10
PCDHB11
PCDHB12
PCDHB14
PCDHB15
PCDHGA1
PCDHGA2
PCDHGA9
PCDHGA12
PCDHGC3
ARAP3
PCDH1
AC005740.5
PCDH12
MARCOL
SPINK9
NDST1-AS1
RBM22
SLC36A1
GRIA1
GALNT10
SAP30L
AC009185.1
STK10
AC022217.3
BNIP1
NSG2
AC113423.2
LINC01411
AC138956.1
ARL10
HIGD2A
TSPAN17
DBN1
HEIH
LINC00847
SERPINB9P1
AL031963.1
TUBB2B
AL033523.1
KDM1B
AL451080.1
AL512380.2
SOX4
CASC15
NBAT1
RIPOR2
HIST1H4A
HIST1H2BC
HIST1H2BD
AL353759.1
HIST1H2BE
HIST1H2AD
HIST1H2BG
HIST1H2AE
HIST1H2BJ
ZNF391
ZNF184
HIST1H4J
HIST1H2BN
HIST1H2AK
HIST1H3J
ZSCAN16
ZSCAN9
ZKSCAN3
HMGA1
PACSIN1
STK38
CCDC167
LRFN2
NFYA
AL160163.1
BYSL
PPP2R5D
MAD2L1BP
TNFRSF21
GSTA4
COL19A1
EEF1A1
AL357507.1
ELOVL4
POU3F2
CD24
LINC00222
SESN1
MICAL1
MARCKS
HDAC2
HDDC2
KIAA0408
SOGA3
AL356124.1
ARHGAP18
ENPP1
MOXD1
MYB
ARFGEF3
ABRACL
CITED2
LINC01625
VTA1
STXBP5
SAMD5
AL033504.1
AL445123.2
AL359382.1
AL513164.1
SASH1
KATNA1
ZBTB2
ARMT1
TIAM2
TMEM181
TCP1
AL356123.2
AL354892.1
FAM20C
NUDT1
AC093620.1
AC092171.1
AC092171.5
ACTB
FSCN1
DAGLB
MIOS
GLCCI1
NXPH1
TMEM106B
AC011287.1
ETV1
DGKB
ANKMY2
TWIST1
KLHL7
C7orf31
NFE2L3
JAZF1
LINC00997
AC018648.1
AC008080.3
AC018647.3
HERPUD2
HECW1-IT1
AC004692.2
CCM2
ZNF680
ZNF117
ERV3-1
AC008267.5
SBDS
LIMK1
AC005081.1
AC211486.5
HIP1
MDH2
SRRM3
SRI
DLX6
AC004834.1
GAL3ST4
GPC2
PILRA
NAT16
CLDN15
UPK3BL2
LHFPL3
LHFPL3-AS2
AC073073.2
LAMB1
LAMB4
NRCAM
AC004112.1
ST7
ST7-AS2
IMPDH1
AC018638.7
FAM71F2
CALU
CCDC136
FLNC
ATP6V1F
MEST
AUXG01000058.1
TSGA13
PLXNA4
AC018643.1
AC011625.1
LRGUK
SLC35B4
AKR1B1
STMP1
SLC13A4
DGKI
KDM7A
ADCK2
AC004918.1
DENND11
EPHA1-AS1
AC005486.1
WDR86
LINC01003
AC004908.3
DLGAP2
ANGPT2
PPP1R3B
AC069185.1
LZTS1
LZTS1-AS1
AC037459.2
R3HCC1
DPYSL2
TRIM35
MBOAT4
RNF122
AC105230.1
RAB11FIP1
PLPP5
ADAM18
ZMAT4
GOLGA7
AC009630.1
POLB
ST18
AC021915.2
XKR4
AC022679.2
PENK
LINC01602
TOX
CHD7
AC113143.1
AC113143.3
AC022182.1
NCOA2
EYA1
SBSPON
GDAP1
MIR2052HG
AC115837.2
AC011632.1
STMN2
AC009812.4
AC012533.1
AC011773.3
RUNX1T1
AC104211.1
AC117834.1
TRIQK
C8orf87
LINC00535
AC016885.2
AC120053.1
PDP1
TP53INP1
AP003469.4
AC021237.1
LINC00536
ZHX2
AC104316.1
AC090198.1
ASAP1
ASAP1-IT2
AC139019.1
LINC02055
ARC
AC105219.1
MAF1
BOP1
SCRT1
TMEM249
AL159169.2
ACER2
AL158206.1
FOCAD
HACD4
CDKN2B
AL445623.2
ELAVL2
AL365204.1
TEK
EQTN
MOB3B
AL163192.1
AL451123.2
AL451123.1
BAG1
AL356489.3
PRSS3
FAM214B
UNC13B
CREB3
RECK
RNF38
SHB
PIP5K1B
FAM122A
AL354794.1
CEMIP2
ABHD17B
ALDH1A1
RFK
HNRNPK
AL157886.1
DAPK1
DAPK1-IT1
GADD45G
ROR2
FGD3
TRMO
AL499604.1
MSANTD3
TMEFF1
CAVIN4
ZNF189
NIPSNAP3A
AL591506.1
AL807761.4
AL138756.1
PTBP3
KIAA1958
SNX30
ZNF618
AKNA
AL138895.1
MEGF9
NDUFA8
LHX6
RBM18
AL359636.2
NIBAN2
SH2D3C
ENDOG
AL353803.2
ASS1
RPL7A
RNF208
PNPLA7
AL359878.1
AKR1C1
AL512770.1
AL353586.1
OPTN
FRMD4A
AL157392.2
AC044781.1
AL157896.1
RPP38
NMT2
AL607028.1
GAD2
AL353796.2
CREM
ZNF33B
SH2D4B
GHITM
MMRN2
PDE6C
LGI1
PDLIM1
CCNJ
FRAT1
FRAT2
ABCC2
CHUK
BTRC
LDB1
AL391121.1
INA
ACSL5
AL139120.1
AL158212.5
AL158212.3
MIR3663HG
PRLHR
C10orf88
MMP21
AL162274.1
DPYSL4
AL731769.2
AP006284.1
BRSK2
KCNQ1
KCNQ1OT1
CDKN1C
AC127526.1
OR51D1
DCHS1
PPFIBP2
MTRNR2L8
AC013549.1
AC073172.1
SOX6
AC103794.1
C11orf58
OTOG
LDHAL6A
HTATIP2
FANCF
AC090469.1
RAG2
AC087276.3
AC087521.3
C11orf96
ZNF408
TIMM10
UBE2L6
AP000442.1
BEST1
UBXN1
C11orf95
RCOR2
PPP1R14B
ESRRA
RPS6KA4
AP001092.1
EHD1
ZNHIT2
TIGD3
SIPA1
FIBP
RAB1B
RCE1
AIP
CDK2AP2
ANAPC15
AP000593.4
UCP3
AP001922.5
CAPN5
USP35
AP003086.1
AP003464.1
RAB30
TYR
NOX4
MED17
VSTM5
PANX1
AP002784.1
FUT4
TMEM123
AP001830.1
PDGFD
CARD18
GRIA4
FDXACB1
C11orf1
PLET1
LINC02762
LINC02763
AP003100.2
NCAM1
AP002518.2
RBM7
BACE1-AS
DSCAML1
AP001267.2
TREH
GRIK4
AP004147.1
AP000755.2
FEZ1
PUS3
AP003486.1
LINC02743
AC007406.5
TEX52
GAU1
TAPBPL
NOP2
CHD4
AC006064.2
LAG3
AC008115.2
CDKN1B
AC008115.3
AC087241.2
AC092747.4
AC026356.1
AC084824.5
PDZRN4
AC090531.1
AC090630.1
AC006197.2
GXYLT1
YAF2
PRICKLE1
AC079601.1
SLC38A1
AC004241.1
AC004801.4
KMT2D
LMBR1L
TUBA1A
GPD1
COX14
HIGD1C
AC139768.1
DAZAP2
AC068888.2
NPFF
HNRNPA1
ZNF385A
ZC3H10
MYL6
ATP5F1B
TAC3
LRP1
AC022506.2
KIF5A
OS9
AC025165.2
AC083805.2
AC084357.2
LINC02389
LINC02231
LLPH
BEST3
RAB3IP
MYRFL
NAV3
AC073591.1
AC073571.1
C12orf29
KITLG
LINC02822
LINC02391
LINC02397
NTN4
PAH
TDG
AC011595.1
POLR3B
RIC8B
AC007695.1
AC007569.1
CORO1C
DAO
SVOP
CUX2
PHETA1
RPL6
PLBD2
TESC-AS1
LINC02440
SRRM4
AC084361.1
PLA2G1B
ACADS
AC069234.1
CAMKK2
LINC01089
AC084018.2
BCL7A
MLXIP
AC026333.4
C12orf65
AC068790.7
ZNF664
AC068790.9
LINC00939
LINC02826
STX2
MMP17
NOC4L
LINC00350
AL355001.2
LATS2-AS1
FGF9
SACS
SACS-AS1
LINC00327
AL353648.1
STARD13-AS
AL138999.2
LINC02343
LINC00457
NBEA
AL390071.1
PROSER1
TPT1
SIAH3
RCBTB1
TRIM13
AL356295.1
PCDH17
COMMD6
SCEL
AL137140.1
SLAIN1
POU4F1
AL136442.1
FARP1
PCCA
PCCA-AS1
TNFSF13B
AL442128.2
AL353704.2
ARHGEF7
AL353704.1
AL359649.1
LINC00354
SOX1
AL356961.1
TMEM255B
AL355075.4
AL161668.3
ABHD4
C14orf93
PSMB5
EFS
AL135999.2
PCK2
AL136295.17
AL096870.8
NYNRIN
PRKD1
AL355053.1
BAZ1A
MBIP
AL132857.1
SFTA3
NKX2-1
AL109628.2
LINC02315
LRFN5
AL442163.1
FKBP3
LINC00648
RPS29
AL591767.1
AL627171.2
AL627171.1
LINC01588
SOS2
AL118556.1
ABHD12B
AL358333.2
RTRAF
AL049838.1
SLC10A1
AL357153.1
ZFYVE1
RIOX1
ESRRB
NRXN3
AF099810.1
AC009396.3
AC009396.1
AC026888.1
AC022469.1
AC022469.2
AC008056.2
AC008056.3
AC008056.1
AF123462.1
DIO2
FOXN3
FOXN3-AS2
ITPK1-AS1
GLRX5
C14orf132
AL163051.1
LINC02299
LINC01550
BCL11B
AL109767.1
AL160313.1
MEG3
AL117190.2
RTL1
MEG8
MEG9
DYNC1H1
AL117209.1
TNFAIP2
AL049840.4
LINC00638
CEP170B
NUDT14
AC087490.1
PWRN4
SNURF
AC127522.1
LINC02249
KLF13
NOP10
AC020661.3
AC091117.2
AC068722.1
SEMA6D
AC084882.1
AC023905.1
SLC24A5
AC022306.2
GABPB1
MIR4713HG
CYP19A1
AC066613.2
AC020892.1
AC020892.2
AC023906.5
AC009754.1
AC090517.5
POLR2M
AC018904.1
AC009554.1
VPS13C
LACTB
CIAO2A
OAZ2
AC100830.2
AC100830.1
AC103691.1
IGDCC3
SLC24A1
ZWILCH
FEM1B
CORO2B
THSD4-AS1
ARID3B
UBE2Q2
SH2D7
CRABP1
CHRNA3
ADAMTS7
AC015871.1
AC023034.1
GOLGA6L10
TM6SF1
IQGAP1
AC103739.3
ST8SIA2
Z69666.1
TMEM8A
TBC1D24
PRSS27
AC108134.2
AC004232.1
GLIS2-AS1
CORO7
AC023830.1
ABAT
AC022167.2
AC087190.1
AC007014.1
AC007216.3
PLA2G10
NPIPA2
RPS15A
ACSM3
DNAH3
CRYM
OTOA
AC009021.1
SLC5A11
ZKSCAN2
ATP2A1-AS1
AC109460.1
BOLA2
CDIPT
ASPHD1
KCTD13
TLCD3B
CORO1A
NPIPB13
TBC1D10B
ZNF48
ZNF764
PRR14
FBXL19-AS1
ARMC5
ZNF720
AC007494.2
HNRNPA1P48
ARL2BP
PLLP
CNGB1
GOT2
LINC02141
AC018557.3
E2F4
ELMO3
ATP6V0D1
AC027682.4
NUTF2
PLA2G15
SMPD3
AC126773.3
AC126773.6
DDX19B
AC009127.1
HPR
NPIPB15
AC106729.1
MON1B
AC009139.2
AC092376.2
AC092376.3
AC092376.1
AC084064.1
GSE1
MAP1LC3B
JPH3
CBFA2T3
AC092384.1
ZNF778
TUBB3
FAM157C
RAP1GAP2
OR3A3
TAX1BP3
EMC6
PSMB6
RPAIN
SLC16A13
PHF23
EIF5A
NEURL4
TNK1
LINC00324
KRBA2
AC135178.4
CDRT1
ZNF286A
LINC02087
RAI1-AS1
SMCR5
FOXO3B
TVP23B
MAPK7
AC004702.1
CCDC144NL
AC087393.2
LINC01563
DHRS7B
MTRNR2L1
KSR1
TNFAIP1
SARM1
RAB34
TRAF4
SEZ6
MYO18A
TIAF1
AC024619.3
ANKRD13B
C17orf75
AC005899.7
CCL5
AATF
TBC1D3L
ARHGAP23
PPP1R1B
RAPGEFL1
NT5C3B
ATP6V0A1
AC067852.3
HSD17B1
AC067852.2
AC100793.3
CNTD1
VAT1
RND2
ARL4D
MIR2117HG
HDAC5
AC023855.1
RUNDC3A
ARHGAP27
OSBPL7
CBX1
SNX11
AC091133.1
IGF2BP1
AC091133.4
AC091180.5
PHB
AC009720.1
LRRC59
AC005921.2
PCTP
DYNLL2
HSF5
AC100832.2
USP32
LIMD2
FTSJ3
PSMC5
CACNG4
CACNG1
AC005332.7
AC007432.1
RPL38
KIF19
TMEM104
HID1
CDR2L
KCTD2
ARMC7
JPT1
SUMO2
SLC25A19
LLGL2
TEN1
AC016168.2
SOCS3
RBFOX3
CBX2
CBX8
TBC1D16
CARD14
AC027601.4
AC110285.1
BAHCC1
ACTG1
AC139149.1
AC139530.1
SIRT7
DCXR-DT
NARF-AS1
AC124283.1
AP001020.2
MYL12B
AP005210.2
GACAT2
AP001033.1
AP001381.1
CHMP1B
LDLRAD4-AS1
AP005131.6
ANKRD30B
CABLES1
RMC1
AC090772.1
DSC2
NOL4
AC007998.4
TPGS2
AC108452.1
AC021504.1
LOXHD1
ST8SIA5
MAPK4
TCF4
TCF4-AS1
TCF4-AS2
NEDD4L
AC107896.1
AC090236.2
CCBE1
SERPINB8
CNDP1
LINC00683
HSBP1L1
FGF22
MIDN
EFNA2
MEX3D
TCF3
ATP8B3
AMH
AC006130.1
ZNF556
TLE6
TLE2
TLE5
ATCAY
MPND
KDM4B
PTPRS
CATSPERD
AC104532.2
CAPS
ALKBH7
PSPN
TUBB4A
ZNF358
PRR36
AC010336.3
SNAPC2
FBN3
AC022146.2
RPS28
ADAMTS10
AC130469.1
ZNF699
AC011451.1
ZNF177
OLFM2
KEAP1
CARM1
TSPAN16
RAB3D
ZNF627
ZNF69
ZNF763
ZNF878
PRDX2
AC018761.2
ZSWIM4
PALM3
LINC01841
CYP4F22
AC008764.8
MYO9B
AC020913.1
AC020913.3
ANKLE1
ANO8
AC008761.1
KCNN1
RAB3A
AC005759.1
PGPEP1
COPE
DDX49
HOMER3
ZNF486
AC008554.1
ZNF737
ZNF431
ZNF708
AC123912.1
ZNF208
ZNF675
ZNF254
AC073534.2
AC006504.1
UQCRFS1
POP4
C19orf12
AC005597.1
ZNF536
AC011478.1
TSHZ3
LINC01801
AC008555.1
AC008555.2
AC008555.4
GRAMD1A
AC002116.2
CAPNS1
KCNK6
CATSPERG
CCER2
DLL3
SHKBP1
AC008537.4
DMAC2
ZNF428
CADM4
ZNF221
ZNF225
PPM1N
IRF2BP1
BICRA-AS1
CYTH2
AC022154.1
MAMSTR
TEAD2
AC010524.1
SCAF1
FAM71E1
JOSD2
IGLON5
SPACA6P-AS
ZNF649
AC011468.1
ZNF480
ZNF528-AS1
ZNF578
AC010332.3
ZNF600
ZNF525
ZNF761
ZNF813
NLRP12
TFPT
LENG1
EPS8L1
PPP1R12C
AC010327.5
TMEM86B
ZNF628
ZNF581
ZNF787
ZNF582
ZNF470
ZNF71
ZNF135
AC020915.1
ZNF8
A1BG-AS1
CHMP2A
AL031670.1
RNF24
SMOX
AL121757.2
FERMT1
LINC01428
BFSP1
DTD1
AL121900.1
LINC00237
KIZ
KIZ-AS1
BCL2L1
AL117381.1
NOL4L
AL034550.3
AL034550.2
DNMT3B
AL035071.1
ZNF341-AS1
RALY
AL031668.1
ITCH-AS1
TP53INP2
EIF6
AL035420.1
DLGAP4
DLGAP4-AS1
SLA2
AL162293.1
KIAA1755
AL391095.1
SLC32A1
MAFB
TOX2
GDAP1L1
ZSWIM3
AL109984.1
SS18L1
RPS21
STMN3
ZBTB46
UCKL1-AS1
MYT1
SMIM11B
AJ009632.2
C21orf91-OT1
LINC00320
MIR155HG
AP001599.1
ADAMTS5
BACH1-AS1
TIAM1
AP000248.1
LINC00649
RCAN1
DOP1B
TTC3-AS1
ERG
B3GALT5-AS1
ABCG1
IL17RA
TMEM121B
ADA2
CECR2
AC007666.2
AC008079.1
SLC25A1
SEPTIN5
RTL10
TANGO2
AC006547.1
PI4KA
MMP11
LRP5L
TFIP11
MIAT
Z99774.1
AL121885.2
KREMEN1
AL021393.1
RASL10A
MORC2-AS1
LINC01640
LARGE1
Z82173.1
LARGE-AS1
RASD2
MYH9
Z82215.1
TRIOBP
H1F0
C22orf23
PLA2G6
CSNK1E
NPTXR
MRTFA-AS1
AL023553.1
CSDC2
SREBF2-AS1
SMDT1
PRR34-AS1
AL121672.2
CERK
SLC25A6
PRKX
PRKX-AS1
BX890604.2
BX842570.1
HCCS
TMSB4X
S100G
SYAP1
RAI2
SCML2
CDKL5
PHKA2
YY2
ARX
PRRG1
DYNLT3
INE1
UXT
AC115618.1
PRAF2
PLP2
MTRNR2L10
AL050309.1
KLF8
DLG3
RTL5
POU3F4
DACH2
TMSB15A
TMSB15B-AS1
PAK3
DCX
TRPC5
LRCH2
PLS3
KLHL13
WDR44
DOCK11
LONRF3
NKRF
SEPTIN6
TMEM255A
GRIA3
RAB33A
LINC01201
AL136169.1
ZNF449
MMGT1
FHL1
AL031073.2
AFF2
CXorf40A
LINC00894
HMGB3
CETN2
SSR4
DNASE1L1
PLXNA3
G6PD
F8A1
CMC4
CLIC2
AC234781.1
F8A3
BX571846.1
TTTY14
AC011841.1
AC240274.1
AC004556.3
