Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	ZscoreP	ldsr_FDR	ldsr_FDR_log10
FC-Endo	0.08992814987823676	0.07784970350246304	0.00821317421930164	0.8656878141924635	0.09133040355464148	0.1386952087122836	-1.7629658658857884e-8	4.953216278208077e-9	-3.559234579846725	0.9998140313947257	0.9999905266408811	0
FC-ExN-1	0.0854563684679439	0.11441757511817728	0.00912013999922743	1.338900507585894	0.10672276581292532	0.0015641667999401	7.286723213399662e-9	5.648921372974662e-9	1.2899317820673704	0.09853717235723446	0.23292084902889298	0.6327916354973321
FC-ExN-2	0.12366269713658032	0.2118720650403124	0.0108815050737567	1.7133061945617156	0.08799343153367045	1.8622736562461018e-12	2.8302681074119227e-8	5.244449294832344e-9	5.396692671241474	3.394025626207694e-8	3.0885633198490014e-6	5.510243490593367
FC-ExN-3	0.10702499295858406	0.16988613357649351	0.00977176761946398	1.5873501028141634	0.09130360441364768	1.660945582440994e-9	2.021820746032225e-8	5.205400644250804e-9	3.884082867406682	5.135843658707502e-5	0.0023368088647119133	2.6313768085301565
FC-ExN-4	0.12796387413924035	0.19204584766018865	0.00997887034460685	1.5007817554134006	0.07798193366472025	1.937287842031118e-9	1.6822953556547375e-8	4.4499086142947315e-9	3.780516638590264	7.82516296526245e-5	0.0023736327661296095	2.6245864715567926
FC-ExN-5	0.13751235288305513	0.18955073698489155	0.00955525203422734	1.3784269777282592	0.06948649945909538	2.513948278424338e-7	1.2449880077067124e-8	4.047898158314106e-9	3.075640638709232	0.0010502542031860728	0.010619236943325847	1.9739066888297774
FC-InN-1	0.07340518848767497	0.101302258175364	0.00782111667603813	1.380042204950854	0.10654719151564236	3.0636598339953e-4	1.0613865801755456e-8	5.594117305642215e-9	1.8973262843541612	0.028892444010138855	0.10950831688077542	0.9605528959995366
FC-InN-2	0.07765134263320271	0.10693203409790356	0.00833930588341622	1.3770790107649833	0.1073942265597149	4.5408980446093e-4	9.675265560647538e-9	5.698677340281774e-9	1.6978089796831943	0.04477191027524519	0.1273201198452285	0.8951029612535406
FC-InN-3	0.08268475979251685	0.09321891469757848	0.00883506167397544	1.1274014090564604	0.10685235944502353	0.2369101827579578	-2.034554028882158e-9	5.801066323836377e-9	-0.3507206977658999	0.6371010519269614	0.9999905266408811	0
FC-InN-4	0.08876780505267516	0.13252303519158998	0.00886371954962958	1.4929177883011784	0.09985286382117724	1.8178380211860728e-6	1.9289924178655245e-8	5.458272709462497e-9	3.534071162332015	2.046054433114369e-4	0.0037238190682681517	2.429011428539692
FC-IP	0.07478579249437903	0.08818862274608277	0.00822531349790756	1.179216262938059	0.10998497473334648	0.10003454123425017	-2.228426575479122e-9	5.875995085492542e-9	-0.37924241648550144	0.6477460719135341	0.9999905266408811	0
FC-MG	0.06752998871528171	0.0570250675617907	0.00649975490099228	0.8444406499491419	0.0962499035561281	0.10643436332180116	-1.731763272338019e-8	4.817693884637971e-9	-3.5945896808845372	0.9998375483908063	0.9999905266408811	0
FC-N-undef	0.10717982862057528	0.13206152302453578	0.00829304768933772	1.2321490407681428	0.07737507883778895	0.00306171729497653	3.46774975730142e-9	4.335687105141669e-9	0.7998155017203695	0.21190885012079108	0.4192109861085215	0.3775673444790309
FC-OPC	0.07921429373046417	0.09131466184274174	0.00727210003793594	1.152754857014196	0.0918028766712244	0.09765524836145456	5.582736812212198e-10	4.864074269346665e-9	0.11477490891523874	0.45431176869398526	0.7950455952144742	0.09960796419607137
FC-RG-1	0.10362800254111658	0.09994159880615676	0.0085125830479161	0.964426567678971	0.08214558651305238	0.6652412823537226	-1.1957439046727622e-8	4.5094331938953574e-9	-2.6516501149002485	0.9959950251044277	0.9999905266408811	0
FC-RG-2	0.0821014839563917	0.08071270684002992	0.00734386041370004	0.9830846283229248	0.08944857096128421	0.8501509443954962	-9.387025544308116e-9	4.695405430745384e-9	-1.999193825274839	0.9772063067954007	0.9999905266408811	0
GE-CycPro	0.1084882990035998	0.12453316983359904	0.00820377657020148	1.147894943301368	0.07561899896623198	0.05161074328127003	-1.716341891978158e-9	4.064263974659846e-9	-0.4223007911590697	0.6635972596199938	0.9999905266408811	0
GE-InN-1	0.09422261677636848	0.1441695866636995	0.01045617698560386	1.5300953380001856	0.11097311179990844	4.218617647521916e-6	1.6621667702160083e-8	6.0319355972981394e-9	2.75561093682853	0.002929131725585738	0.020503922079100165	1.6881630572667077
GE-InN-2	0.08863997756141045	0.13769031112388885	0.00923649104662409	1.553365816552649	0.10420231706652888	4.157837920687873e-7	1.9163863619446644e-8	5.658077178413568e-9	3.3869922617103425	3.533169044851492e-4	0.0045931197583069395	2.3378922308952017
GE-InN-3	0.09494126897135272	0.14238514730305463	0.00940040124384704	1.4997181820480774	0.0990128038701852	1.4877065578908236e-6	1.6128247239513266e-8	5.4783542536340624e-9	2.943994946806262	0.0016200264483616003	0.013402036981900513	1.8728291879958985
GE-InN-4	0.08973171156816988	0.1280645152622975	0.00851418448568139	1.4271934974182	0.09488490007474232	9.402099695494882e-6	1.2550727537921657e-8	5.112885829574294e-9	2.4547247789741173	0.007049624357775332	0.037988590886528666	1.4203468154622516
GE-InN-5	0.09824398242019716	0.14253675526082354	0.009037483901389	1.4508446395340813	0.09199020315295228	1.7435852502058705e-6	1.4328076443332641e-8	5.078688513315514e-9	2.8212158327423897	0.002392100133977556	0.01814009268266313	1.7413604983417263
GE-InN-6	0.1083540969130332	0.15042706214618004	0.0098902980655318	1.3882914115090204	0.09127756446043685	3.8884230096932416e-5	1.1356349153007373e-8	5.0292167717438655e-9	2.2580750976597086	0.011970488937667842	0.05187211872989398	1.2850660127754645
