Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	ZscoreP	ldsr_FDR	ldsr_FDR_log10
FC-CycPro	0.11067998689516584	0.17949072205148825	0.01407135009689657	1.6217089203443684	0.1271354514183735	2.591402798402918e-6	1.8457750622480187e-8	1.2200195029066837e-8	1.5129061935899215	0.0651517442255319	0.4443770235139906	0.35224840431949894
FC-Endo	0.08992814987823676	0.1803050337509824	0.01478985136030273	2.0049899168960605	0.16446297828130874	5.9652165494559695e-9	3.0634947579917013e-8	1.574206079591455e-8	1.9460569983230864	0.02582394662610745	0.3968570783478077	0.4013658692074599
FC-ExN-1	0.0854563684679439	0.11184489838234196	0.00819533514827581	1.3087953582335623	0.09590081225309754	0.00146950096005464	-9.678362086190993e-9	9.510736968628006e-9	-1.0176248295075252	0.8455718585313641	0.9994180079644611	0
FC-ExN-2	0.12366269713658032	0.1441162257701224	0.0083054313191301	1.1653977238661712	0.06716197779478399	0.01606815303623258	-1.7710891358934788e-8	7.097972776406405e-9	-2.495204182496392	0.9937057665133262	0.9994180079644611	0
FC-ExN-3	0.10702499295858406	0.14503791313283207	0.0085201391499794	1.3551779740733834	0.07960887372612566	1.7961102214092953e-5	-1.0169150119924221e-8	8.056439797255376e-9	-1.2622387029303677	0.8965685470198987	0.9994180079644611	0
FC-ExN-4	0.12796387413924035	0.14020911163024172	0.00881963006122266	1.0956929256274082	0.06892281216514141	0.16701795740137065	-1.826417710374838e-8	7.2730631533636715e-9	-2.511208375153666	0.9939840673950369	0.9994180079644611	0
FC-ExN-5	0.13751235288305513	0.13490373540032033	0.00861818433278399	0.9810299407431908	0.06267207383261904	0.7619464099499289	-1.5890730802584615e-8	6.677854095837386e-9	-2.379616351979005	0.9913346645889362	0.9994180079644611	0
FC-InN-1	0.07340518848767497	0.08663250446155808	0.0064729895869120296	1.1801959268329385	0.08818163566188343	0.04339633497401246	-1.3591653511781354e-8	7.927852445283444e-9	-1.7144180729382144	0.9567740141722364	0.9994180079644611	0
FC-InN-2	0.07765134263320271	0.09551875301963358	0.00671850399847008	1.2300978937457676	0.08652141444876106	0.00898521451967064	-1.282657810873558e-8	8.924268664441948e-9	-1.437269382066239	0.9246792674025042	0.9994180079644611	0
FC-InN-3	0.08268475979251685	0.09501857816301584	0.00704241623493423	1.149166767871716	0.08517187753348937	0.0805735758955546	-4.243775897690874e-9	8.876782562536271e-9	-0.47807590957577145	0.6837019111811689	0.9994180079644611	0
